,100.0,200.0,300.0,400.0,500.0,600.0,700.0,800.0,900.0,1000.0,1100.0,1200.0,1300.0,1400.0,1500.0,1600.0,1700.0,1800.0,1900.0,2000.0,2100.0,2200.0,2300.0,2400.0,2500.0,2600.0,2700.0,2800.0,2900.0,3000.0,3100.0
北海道,304.79272477693894,694.1070693205216,-550.1043239533287,26.01372683596431,66.5092656142759,-8.485929993136581,30.56691832532601,55.94646533973919,24.19423472889499,-11.756348661633494,3.1331503088538093,-16.761153054221,-41.809883321894304,-45.12560054907344,32.30336307481126,77.95332875772135,58.08991077556623,-799.9430336307481,-153.77213452299245,105.47220315717227,-397.53466026080986,-10.871654083733699,31.17570350034317,104.83802333562114,-201.30267673301304,685.9162663006177,-512.070006863418,-123.2745367192862,-810.9162663006177,-109.90803019903912,731.5950583390528
青森県,74.26767330130404,29.334248455730954,-120.85861358956761,-4.8702814001372685,12.21413864104324,41.6945778997941,5.938229238160604,113.159231297186,1.4728894989704873,-41.444749485243655,4.3335621139327385,-8.125600549073438,-1.383665065202471,-10.8318462594372,5.548387096774194,15.776938915579958,21.30267673301304,-227.87508579272478,11.225806451612904,35.23335621139327,-93.73232669869596,-5.142072752230611,-3.584763212079616,36.242278654770075,-35.52573781743308,137.43102264927933,-175.840768702814,-32.08442004118051,-195.18668496911462,-26.584763212079615,162.4646533973919
岩手県,48.56485929993136,10.427590940288264,-86.24914207275224,7.943719972546328,3.169526424159231,32.54495538778312,6.309540150995196,24.66506520247083,10.492107069320522,-96.49828414550446,-16.425531914893618,-9.875085792724777,-29.936856554564173,-85.5442690459849,11.36856554564173,22.740562800274535,23.05628002745367,-259.726149622512,10.794783802333562,34.60329444063144,-82.54701441317776,-2.1592312971859986,-3.3822923816060397,20.447494852436513,-82.16197666437886,179.9196980096088,-76.99176389842141,-24.317776252573783,-168.58613589567605,-24.47975291695264,156.53397391901166
宮城県,57.14962251201098,117.91901166781057,-159.95881949210707,8.724090597117364,21.30748112560055,20.48043925875086,11.471516815374056,27.96156485929993,7.659574468085107,-86.35552505147564,-23.405628002745367,-29.592312971859986,-41.726835964310226,-53.16678105696637,17.84900480439259,15.844886753603294,-7.6122168840082365,-471.3452299245024,-82.06520247083047,21.011667810569662,-209.03568977350722,-29.690459849004803,16.618393960192176,12.921070693205216,-98.26012354152368,342.6650652024708,-201.31983527796842,-50.23335621139327,-284.99794097460534,-62.42141386410432,292.8819492107069
秋田県,34.366506520247086,77.22237474262182,-46.0398078242965,-9.216197666437886,6.695950583390529,35.72477693891558,4.745367192862045,13.236101578586135,5.624571036376115,-47.152367879203844,-11.788606726149622,-3.150308853809197,-7.525737817433082,-3.39601921757035,3.498970487302677,24.315717227179135,0.8675360329444063,-138.56829100892244,-3.6472203157172274,11.117364447494852,-78.23266986959506,-10.93273850377488,-4.256691832532601,12.109814687714481,-34.2299245024022,106.52093342484557,-82.99862731640357,-25.29032258064516,-169.67741935483872,-10.634866163349347,125.1818805765271
山形県,40.243651338366504,49.454358270418666,-87.90940288263555,-5.079615648592999,4.873713109128346,24.883321894303364,8.72340425531915,28.61153054221002,11.115991763898421,-66.92175703500344,58.94646533973919,-24.669183253260123,-385.6485929993137,-20.809883321894304,7.723404255319149,-2.914207275223061,-2.2168840082361014,-140.53260123541523,9.547700754975978,45.13383665065202,-70.14893617021276,-5.278654770075498,5.100205902539464,30.81194234728895,-64.20658888126287,134.7741935483871,-74.51887439945092,-18.65751544269046,-158.34248455730955,-20.79341111873713,143.6733013040494
福島県,52.13177762525738,177.33356211393274,-87.34248455730955,6.849004804392587,16.678105696636926,90.5312285518188,21.117364447494854,51.217570350034315,29.893617021276597,-115.80919698009609,30.86959505833905,-80.11805078929306,-283.8641043239533,-75.25875085792725,14.037748798901854,26.877144818119422,17.70212765957447,-250.512697323267,8.505147563486616,63.97254632807138,-139.1818805765271,-2.8407687028140014,-6.159231297185999,29.97117364447495,-61.18393960192176,310.13452299245023,-166.33081674673988,-34.229238160603984,-255.58956760466714,-50.191489361702125,265.9059711736445
茨城県,107.63829787234043,590.8730267673301,-357.83390528483187,12.627316403568978,32.601235415236786,65.90048043925876,53.86616334934798,108.89567604667124,71.88400823610158,-560.4701441317776,-13.40219629375429,-212.93479752916951,-33.53191489361702,-58.148936170212764,23.144131777625258,73.69045984900481,53.536032944406315,-383.8201784488675,54.08304735758408,123.92381606039808,-180.42347288949898,-16.06588881262869,-3.6568291008922444,63.79272477693892,-118.18599862731641,412.82566918325324,-186.61770761839395,-45.3671928620453,-328.2717913520933,-84.79341111873713,311.2024708304736
栃木県,74.30748112560055,25.47975291695264,-118.35415236787921,2.672614962251201,27.052848318462594,81.89430336307481,19.75840768702814,72.0926561427591,61.7254632807138,-253.40288263555252,78.38846945778998,-263.0247083047358,-262.61290322580646,-266.0748112560055,11.962937542896363,44.72409059711737,3.8153740562800276,-235.20041180507894,51.903225806451616,76.46259437199726,-171.98833218943034,-9.641043239533287,6.118737131091283,28.109814687714483,-93.53054221002058,324.41660947151684,-84.53671928620453,-28.035689773507208,-232.035003431709,-58.021962937542895,209.33905284831846
